"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Conservation","Invasive"
"https://id.biodiversity.org.au/node/apni/2907449","Acacia cupularis","Domin","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia","Coastal Umbrella Bush","6","Queensland : Conservation Status | Victoria : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2907642","Austrocylindropuntia cylindrica","(Lam.) Backeb.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Cactaceae","Austrocylindropuntia","Cane Cactus","6","","Weeds of National Significance (WoNS) as at Feb. 2013"
"https://id.biodiversity.org.au/node/apni/2907908","Dimocarpus longan","Lour.","species","Plantae","Charophyta","Equisetopsida","Sapindales","Sapindaceae",,"Longan","6","",""
"https://id.biodiversity.org.au/node/apni/2907919","Ipomoea hederacea","Jacq.","species","Plantae","Charophyta","Equisetopsida","Solanales","Convolvulaceae","Ipomoea",,"6","",""
"https://id.biodiversity.org.au/node/apni/2908042","Thunbergia arnhemica","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Acanthaceae","Thunbergia",,"6","",""
"https://id.biodiversity.org.au/node/apni/2908270","Dianella odorata","Blume","species","Plantae","Charophyta","Equisetopsida","Asparagales","Hemerocallidaceae","Dianella",,"6","",""
"https://id.biodiversity.org.au/node/apni/2908393","Hibbertia mulligana","S.T.Reynolds","species","Plantae","Charophyta","Equisetopsida",,"Dilleniaceae","Hibbertia",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2908638","Carpobrotus chilensis","(Molina) N.E.Br.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Aizoaceae","Carpobrotus","Angled Pigface","6","",""
"https://id.biodiversity.org.au/node/apni/2908809","Plectranthus caldericola","P.I.Forst.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Plectranthus",,"6","",""
"https://id.biodiversity.org.au/node/apni/2908913","Androcalva luteiflora","(E.Pritz.) C.F.Wilkins & Whitlock","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Androcalva",,"6","",""
"https://id.biodiversity.org.au/node/apni/2908984","Goodenia macmillanii","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Asterales","Goodeniaceae","Goodenia","Pinnate Goodenia","6","Victoria : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2909336","Clerodendrum thomsoniae","Balf.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Clerodendrum","Mrs Thomson's Clerodendron","6","",""
"https://id.biodiversity.org.au/node/apni/2909362","Ribes uva-crispa","L.","species","Plantae","Charophyta","Equisetopsida","Saxifragales","Grossulariaceae","Ribes","Gooseberry","6","",""
"https://id.biodiversity.org.au/node/apni/2909416","Ochrosperma obovatum","A.R.Bean","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Ochrosperma",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2909482","Bryophyllum beauverdii","(Raym.-Hamet) A.Berger","species","Plantae","Charophyta","Equisetopsida","Saxifragales","Crassulaceae","Bryophyllum",,"6","",""
"https://id.biodiversity.org.au/node/apni/2909694","Plantago australis","Lam.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Plantaginaceae","Plantago","Southern Plantain","6","",""
"https://id.biodiversity.org.au/node/apni/2909979","Glischrocaryon behrii","(Schltdl.) Orchard","species","Plantae","Charophyta","Equisetopsida","Saxifragales","Haloragaceae","Glischrocaryon","Golden Pennants","6","",""
"https://id.biodiversity.org.au/node/apni/2910140","Clerodendrum x speciosum","Dombrain","species","Plantae","Charophyta","Equisetopsida","Lamiales","Lamiaceae","Clerodendrum",,"6","",""
"https://id.biodiversity.org.au/node/apni/2910417","Moraea collina","Thunb.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Iridaceae","Moraea","Cape Tulip","6","",""
"https://id.biodiversity.org.au/node/apni/2910872","Heliotropium ammophilum","Craven","species","Plantae","Charophyta","Equisetopsida",,"Boraginaceae","Heliotropium",,"6","",""
"https://id.biodiversity.org.au/node/apni/2910948","Gomphrena globosa","L.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Gomphrena","Bachelor's Buttons","6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2911071","Eragrostis olida","Lazarides","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Eragrostis",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2911092","Stenocarpus cunninghamii","R.Br.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Stenocarpus","Little Wheel Bush","6","",""
"https://id.biodiversity.org.au/node/apni/2911433","Leptospermum madidum","A.R.Bean","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Leptospermum",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2911460","Erica arborea","L.","species","Plantae","Charophyta","Equisetopsida","Ericales","Ericaceae","Erica","Tree Heath","6","",""
"https://id.biodiversity.org.au/node/apni/2911506","Epiphyllum phyllanthus","(L.) Haw.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Cactaceae","Epiphyllum",,"6","",""
"https://id.biodiversity.org.au/node/apni/2911673","Hypericum hypericoides","(L.) Crantz","species","Plantae","Charophyta","Equisetopsida","Malpighiales","Hypericaceae","Hypericum",,"6","",""
"https://id.biodiversity.org.au/node/apni/2912043","Phyllanthus triandrus","(Hook.) Druce","species","Plantae","Charophyta","Equisetopsida","Malpighiales","Phyllanthaceae","Phyllanthus",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2912068","Alhagi maurorum","Medik.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Alhagi","Camelthorn","6","Queensland : Conservation Status","WA State Notifiable Pests"
"https://id.biodiversity.org.au/node/apni/2912279","Marsdenia longipedicellata","P.I.Forst.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Apocynaceae","Marsdenia",,"6","",""
"https://id.biodiversity.org.au/node/apni/2912481","Polycarpaea involucrata","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Caryophyllaceae","Polycarpaea",,"6","",""
"https://id.biodiversity.org.au/node/apni/2912604","Fimbristylis signata","S.T.Blake","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Fimbristylis",,"6","",""
"https://id.biodiversity.org.au/node/apni/2912636","Opercularia hispidula","Endl.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Rubiaceae","Opercularia","Hispid Stinkweed","6","",""
"https://id.biodiversity.org.au/node/apni/2912806","Thinopyrum elongatum","(Host) D.R.Dewey","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Thinopyrum",,"6","",""
"https://id.biodiversity.org.au/node/apni/2913050","Eriachne scleranthoides","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Eriachne","Mount Olga Wanderrie Grass","6","",""
"https://id.biodiversity.org.au/node/apni/2913297","Millotia macrocarpa","Schodde","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Millotia","Large-fruited Millotia","6","",""
"https://id.biodiversity.org.au/node/apni/2913391","Zieria rimulosa","C.T.White","species","Plantae","Charophyta","Equisetopsida","Sapindales","Rutaceae","Zieria",,"6","Queensland : Conservation Status | EPBC Act Threatened Species",""
"https://id.biodiversity.org.au/node/apni/2913470","Stenanthemum argenteum","A.R.Bean","species","Plantae","Charophyta","Equisetopsida","Rosales","Rhamnaceae","Stenanthemum",,"6","Queensland : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2913629","Ranunculus arvensis","L.","species","Plantae","Charophyta","Equisetopsida","Ranunculales","Ranunculaceae","Ranunculus","Corn Buttercup","6","",""
