Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Conservation,Invasive
https://id.biodiversity.org.au/node/apni/2903956,Flemingia parviflora,Benth.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Flemingia,,,
https://id.biodiversity.org.au/node/apni/2904177,Dendrocnide moroides,(Wedd.) Chew,species,Plantae,Charophyta,Equisetopsida,Rosales,Urticaceae,Dendrocnide,Gympie,New South Wales : Conservation Status,
https://id.biodiversity.org.au/node/apni/2904596,Lindsaea dimorpha,F.M.Bailey,species,Plantae,Charophyta,Equisetopsida,Polypodiales,Lindsaeaceae,Lindsaea,,,
https://id.biodiversity.org.au/node/apni/2904646,Elatine gratioloides,A.Cunn.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Elatinaceae,Elatine,Waterwort,South Australia : Conservation Status,
https://id.biodiversity.org.au/node/apni/2904662,Cynoglossum australe,R.Br.,species,Plantae,Charophyta,Equisetopsida,,Boraginaceae,Cynoglossum,Australian Hound's-tongue,,
https://id.biodiversity.org.au/node/apni/2904925,Hybanthus stellarioides,(Domin) P.I.Forst.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Violaceae,Hybanthus,,,
https://id.biodiversity.org.au/node/apni/2905006,Persicaria hydropiper,(L.) Delarbre,species,Plantae,Charophyta,Equisetopsida,Caryophyllales,Polygonaceae,Persicaria,Water Pepper,,
https://id.biodiversity.org.au/node/apni/2905238,Nymphaea caerulea,Savigny,species,Plantae,Charophyta,Equisetopsida,Nymphaeales,Nymphaeaceae,Nymphaea,,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2905813,Hibbertia dentata,R.Br. ex DC.,species,Plantae,Charophyta,Equisetopsida,,Dilleniaceae,Hibbertia,Trailing Guinea-flower,Victoria : Conservation Status,
https://id.biodiversity.org.au/node/apni/2906112,Hypoxis pratensis,R.Br.,species,Plantae,Charophyta,Equisetopsida,Asparagales,Hypoxidaceae,Hypoxis,Golden Weathergrass,,
https://id.biodiversity.org.au/node/apni/2906147,Ceratopetalum gummiferum,Sm.,species,Plantae,Charophyta,Equisetopsida,Oxalidales,Cunoniaceae,Ceratopetalum,Christmas Bush (nsw),,
https://id.biodiversity.org.au/node/apni/2906178,Eriobotrya japonica,(Thunb.) Lindl.,species,Plantae,Charophyta,Equisetopsida,Rosales,Rosaceae,Eriobotrya,Loquat,,
https://id.biodiversity.org.au/node/apni/2906304,Cyperus digitatus,Roxb.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Cyperus,,Western Australia : Conservation status,
https://id.biodiversity.org.au/node/apni/2906332,Diospyros kaki,Thunb.,species,Plantae,Charophyta,Equisetopsida,Ericales,Ebenaceae,Diospyros,Japanese Persimmon,,
https://id.biodiversity.org.au/node/apni/2906349,Panicum lachnophyllum,Benth.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Panicum,,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2906815,Dentella repens,(L.) J.R.Forst. & G.Forst.,species,Plantae,Charophyta,Equisetopsida,Gentianales,Rubiaceae,Dentella,,,
https://id.biodiversity.org.au/node/apni/2906912,Scleria levis,Retz.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Scleria,,Western Australia : Conservation status,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2906999,Lysiana maritima,(Barlow) Barlow,species,Plantae,Charophyta,Equisetopsida,Santalales,Loranthaceae,Lysiana,,,
https://id.biodiversity.org.au/node/apni/2907305,Sida hackettiana,W.Fitzg.,species,Plantae,Charophyta,Equisetopsida,Malvales,Malvaceae,Sida,Golden Rod,,
https://id.biodiversity.org.au/node/apni/2907702,Tricoryne anceps,R.Br.,species,Plantae,Charophyta,Equisetopsida,Asparagales,Hemerocallidaceae,Tricoryne,,,
https://id.biodiversity.org.au/node/apni/2908032,Justicia betonica,L.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Acanthaceae,Justicia,Squirreltail,,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2908358,Soliva sessilis,Ruiz & Pav.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Soliva,Onehunga Weed,,Non-native species
https://id.biodiversity.org.au/node/apni/2908506,Hedychium coronarium,J.Koenig,species,Plantae,Charophyta,Equisetopsida,Zingiberales,Zingiberaceae,Hedychium,Butterfly Lily,,Non-native species | Weeds listing  Queensland Government
https://id.biodiversity.org.au/node/apni/2908552,Schizomeria ovata,D.Don,species,Plantae,Charophyta,Equisetopsida,Oxalidales,Cunoniaceae,Schizomeria,Crabapple,,
https://id.biodiversity.org.au/node/apni/2908931,Ricinocarpos speciosus,Müll.Arg.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Ricinocarpos,,Queensland : Conservation Status,
